state,year,document_title,pdf_link
SD,2015.0,"September 2, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/09022015final.pdf
SD,2015.0,"August 19, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/08192015final.pdf
SD,2015.0,"August 5, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/08052015final.pdf
SD,2015.0,"July 15, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/07152015final.pdf
SD,2015.0,"July 1, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/07012015final.pdf
SD,2015.0,"June 17, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/06172015final.pdf
SD,2015.0,"June 3, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/06032015final.pdf
SD,2015.0,"May 20, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/05202015final.pdf
SD,,5/7/15 University Class,https://apps.sd.gov/HC65C2C/EBS/lettings/05072015final.pdf
SD,2015.0,"May 6, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/05062015final.pdf
SD,2015.0,"April 17, 2015 Letting",https://apps.sd.gov/HC65C2C/EBS/lettings/04172015final.pdf
SD,2015.0,"April 15, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/04152015final.pdf
SD,2015.0,"April 1, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/04012015final.pdf
SD,2015.0,"March 25, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/03252015final.pdf
SD,2015.0,"March 18, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/03182015final.pdf
SD,2015.0,"March 4, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/03042015final.pdf
SD,2015.0,"February 18, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/02182015final.pdf
SD,2015.0,"February 4, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/02042015final.pdf
SD,2015.0,"January 21, 2015",https://apps.sd.gov/HC65C2C/EBS/lettings/01212015final.pdf
SD,2014.0,"December 10, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/12102014final.pdf
SD,2014.0,"November 19, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/11192014final.pdf
SD,2014.0,"November 5, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/11052014final.pdf
SD,2014.0,"October 15, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/10152014final.pdf
SD,2014.0,"October 1, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/10012014final.pdf
SD,2014.0,"September 17, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/09172014final.pdf
SD,2014.0,"September 3, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/09032014final.pdf
SD,2014.0,"August 20, 2014",https://apps.sd.gov/HC65C2C/EBS/lettings/08202014final.pdf
